transactionID,userID,username,userType,helpID,Date,Time,Cat,Opt,Org,OrgAdd,OrgCoord,Dest,DestAdd,DestCoord,AddInfo,TimeStamp
00014200001,00014,offer1,2,00001,2021-12-02,19:00:00,Translate,German,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Conversational German
00013200001,00013,janine,2,00001,2021-12-05,18:00:00,Tutor,Statistics,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",NA,NA,NA,Probability theory
00013200002,00013,janine,2,00002,2021-12-25,10:00:00,Errands,Take care of pets/plants,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",NA,NA,NA,Can take care of dogs
00013200003,00013,janine,2,00003,2021-12-11,18:00:00,Ride,NA,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NONE
00015200001,00015,helper1,2,00001,2021-12-03,17:00:00,Translate,Russian,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Survival Russian
00015200002,00015,helper1,2,00002,2021-12-10,10:00:00,Translate,Japanese,Berlin Wall,"Berliner Mauer, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland","(52.5062255, 13.4374946)",NA,NA,NA,Conversational Japanese
00017200001,00017,helper2,2,00001,2021-12-16,18:00:00,Errands,Take care of pets/plants,Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NA,NA,NA,Can take care of plants
00017200002,00017,helper2,2,00002,2022-01-01,08:00:00,Translate,German,Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NA,NA,NA,Basic German
00015200003,00015,helper1,2,00003,2022-02-08,09:00:00,Translate,Polish,Berlin Wall,"Berliner Mauer, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland","(52.5062255, 13.4374946)",NA,NA,NA,Business language
00014200002,00014,offer1,2,00002,2021-12-14,19:00:00,Ride,NA,Genslerstraße 28,"28, Genslerstraße, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland","(52.536257, 13.4971488)",Leopoldstraße 75,"Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(51.75594675, 11.98356660272162)",NONE
00017200003,00017,helper2,2,00003,2021-12-01,20:00:00,Ride,NA,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",Berlin Mall,"Mall of Berlin, 12, Leipziger Platz, Mitte, Berlin, 10117, Deutschland","(44.217210800000004, -72.56441203661959)",NONE
00017200004,00017,helper2,2,00004,2021-12-10,17:00:00,Ride,NA,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",Leopoldstraße 75,"Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(51.75594675, 11.98356660272162)",NONE
00017200005,00017,helper2,2,00005,2021-12-11,19:00:00,Ride,NA,Leopoldstraße 75,"Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(51.75594675, 11.98356660272162)",Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NONE
00013200004,00013,janine,2,00004,2022-01-15,18:00:00,Translate,French,Leopoldstraße 75,"Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(51.75594675, 11.98356660272162)",NA,NA,NA,NONE
00015200004,00015,helper1,2,00004,2021-12-30,10:00:00,Tutor,Programming Language: R,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,ggplot2
00015200005,00015,helper1,2,00005,2022-01-01,18:00:00,Ride,NA,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",Wall of Berlin,"Reste der Berliner Mauer, Rudower Straße, Altglienicke, Treptow-Köpenick, Berlin, Deutschland","(52.4227561, 13.5198362)",NONE
00015200006,00015,helper1,2,00006,2022-01-15,10:00:00,Ride,NA,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NONE
00017200006,00017,helper2,2,00006,2021-12-19,10:00:00,Tutor,Programming Language: Python,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013200005,00013,janine,2,00005,2022-01-02,18:00:00,Ride,NA,Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",Genslerstraße 87,"Genslerstraße, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland","(52.5433052, 13.5005371)",NONE
00014200003,00014,offer1,2,00003,2021-12-05,18:00:00,Ride,NA,Genslerstraße 87,"Genslerstraße, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland","(52.5433052, 13.5005371)",Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",NONE
00001200001,00001,adelle,2,00001,2021-12-10,12:00:00,Tutor,Statistics,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Let's have lunch!,2021-12-03 01:25:49.493464
